               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.050006,            0.053865,                   0,           0.0033333,                   1,            0.046808,            0.011592,            0.019231,            0.022484,                   0,              0.0706,           0.0032667,           0.0032667
                   1,            0.032197,            0.027977,                   0,             0.72345,             0.44684,              0.7079,             0.28101,            0.016054,           0.0092741,                   0,            0.040437,           0.0064366,           0.0064366
                   2,            0.036095,            0.017575,                   0,             0.58641,             0.44975,             0.58604,             0.22757,            0.029836,           0.0045059,                   0,            0.010108,           0.0094416,           0.0094416
                   3,            0.032986,            0.016798,                   0,             0.44811,              0.4878,             0.47086,             0.18503,            0.022366,           0.0047455,                   0,           0.0092575,           0.0092575,           0.0092575
                   4,            0.027041,            0.015439,                   0,             0.57432,             0.14634,             0.20302,            0.053786,             0.03455,           0.0038148,                   0,           0.0092575,           0.0092575,           0.0092575
                   5,            0.024607,             0.01391,                   0,              0.7187,             0.85366,             0.84582,             0.43368,            0.013007,           0.0055958,                   0,             0.00901,             0.00901,             0.00901
                   6,            0.023944,            0.013054,                   0,             0.92929,             0.97561,             0.97794,             0.48037,            0.012886,           0.0047718,                   0,           0.0087625,           0.0087625,           0.0087625
                   7,            0.022923,            0.013268,                   0,             0.41728,             0.83842,             0.47268,             0.13753,            0.021183,           0.0046431,                   0,            0.008515,            0.008515,            0.008515
                   8,            0.022895,            0.012603,                   0,             0.78257,             0.97561,              0.8844,             0.24343,            0.012631,           0.0048636,                   0,           0.0082675,           0.0082675,           0.0082675
                   9,            0.023791,            0.013202,                   0,             0.94407,             0.95122,             0.98854,              0.3232,            0.013797,           0.0045154,                   0,             0.00802,             0.00802,             0.00802
                  10,            0.020071,            0.012656,                   0,             0.46872,             0.68293,             0.55894,             0.16586,            0.014308,           0.0059633,                   0,           0.0077725,           0.0077725,           0.0077725
                  11,            0.023291,            0.012362,                   0,             0.70059,             0.70732,             0.81813,             0.34597,            0.010439,           0.0056643,                   0,            0.007525,            0.007525,            0.007525
                  12,            0.016684,            0.011652,                   0,             0.99017,                   1,               0.995,             0.57495,            0.010056,           0.0042904,                   0,           0.0072775,           0.0072775,           0.0072775
                  13,            0.017574,            0.011951,                   0,             0.98728,                   1,               0.995,             0.67359,           0.0079797,           0.0037492,                   0,             0.00703,             0.00703,             0.00703
                  14,            0.013969,            0.010774,                   0,              0.9703,                   1,               0.995,                 0.6,           0.0080546,           0.0036468,                   0,           0.0067825,           0.0067825,           0.0067825
                  15,            0.014857,            0.010429,                   0,             0.98313,                   1,               0.995,             0.61125,            0.007886,           0.0035793,                   0,            0.006535,            0.006535,            0.006535
                  16,            0.015442,            0.010833,                   0,             0.99387,                   1,               0.995,             0.68727,           0.0088867,           0.0032644,                   0,           0.0062875,           0.0062875,           0.0062875
                  17,            0.017398,             0.01017,                   0,             0.98696,                   1,               0.995,             0.68429,           0.0084798,           0.0033804,                   0,             0.00604,             0.00604,             0.00604
                  18,            0.016565,            0.010517,                   0,             0.99456,                   1,               0.995,               0.646,           0.0090837,           0.0033917,                   0,           0.0057925,           0.0057925,           0.0057925
                  19,             0.01557,            0.010437,                   0,             0.99163,                   1,               0.995,             0.62376,            0.010162,           0.0034147,                   0,            0.005545,            0.005545,            0.005545
                  20,            0.014957,            0.010056,                   0,             0.99498,                   1,               0.995,             0.55409,           0.0089995,           0.0034079,                   0,           0.0052975,           0.0052975,           0.0052975
                  21,            0.014674,            0.010387,                   0,             0.99518,                   1,               0.995,             0.63384,           0.0068193,           0.0035272,                   0,             0.00505,             0.00505,             0.00505
                  22,            0.012833,            0.010847,                   0,             0.99595,                   1,               0.995,               0.607,           0.0075642,           0.0033085,                   0,           0.0048025,           0.0048025,           0.0048025
                  23,            0.013652,            0.010385,                   0,             0.99473,                   1,               0.995,             0.60893,           0.0089515,           0.0031486,                   0,            0.004555,            0.004555,            0.004555
                  24,            0.013002,            0.010129,                   0,             0.99521,                   1,               0.995,             0.62387,           0.0089139,           0.0032662,                   0,           0.0043075,           0.0043075,           0.0043075
                  25,            0.013157,            0.010003,                   0,             0.99628,                   1,               0.995,             0.60488,           0.0080128,           0.0035542,                   0,             0.00406,             0.00406,             0.00406
                  26,            0.013434,            0.010358,                   0,             0.99545,                   1,               0.995,             0.58393,           0.0082981,           0.0034755,                   0,           0.0038125,           0.0038125,           0.0038125
                  27,            0.012171,            0.009532,                   0,             0.99569,                   1,               0.995,             0.63115,           0.0078749,           0.0034403,                   0,            0.003565,            0.003565,            0.003565
                  28,            0.011689,            0.009843,                   0,             0.99581,                   1,               0.995,             0.61362,           0.0075817,           0.0032846,                   0,           0.0033175,           0.0033175,           0.0033175
                  29,            0.012519,            0.010354,                   0,             0.99573,                   1,               0.995,             0.67873,            0.006107,           0.0032924,                   0,             0.00307,             0.00307,             0.00307
                  30,            0.011556,           0.0098891,                   0,             0.99606,                   1,               0.995,             0.69883,           0.0059167,           0.0032559,                   0,           0.0028225,           0.0028225,           0.0028225
                  31,              0.0138,           0.0099769,                   0,             0.99629,                   1,               0.995,             0.66229,            0.006733,           0.0033227,                   0,            0.002575,            0.002575,            0.002575
                  32,            0.011885,            0.010239,                   0,             0.99584,                   1,               0.995,             0.66294,           0.0065696,           0.0035385,                   0,           0.0023275,           0.0023275,           0.0023275
                  33,            0.011383,           0.0098093,                   0,             0.99736,                   1,               0.995,             0.65833,           0.0067527,           0.0035717,                   0,             0.00208,             0.00208,             0.00208
                  34,            0.010483,            0.010329,                   0,             0.99778,                   1,               0.995,             0.64257,            0.006947,           0.0036617,                   0,           0.0018325,           0.0018325,           0.0018325
                  35,            0.012982,           0.0096807,                   0,             0.99804,                   1,               0.995,             0.68319,           0.0060355,           0.0037008,                   0,            0.001585,            0.001585,            0.001585
                  36,            0.010336,            0.009774,                   0,             0.99767,                   1,               0.995,              0.6496,            0.006402,           0.0035504,                   0,           0.0013375,           0.0013375,           0.0013375
                  37,             0.01045,           0.0094236,                   0,             0.99758,                   1,               0.995,             0.68508,           0.0059993,           0.0035469,                   0,             0.00109,             0.00109,             0.00109
                  38,            0.010795,           0.0093918,                   0,             0.99709,                   1,               0.995,             0.69261,           0.0060235,           0.0035031,                   0,           0.0008425,           0.0008425,           0.0008425
                  39,            0.010766,           0.0093165,                   0,             0.99605,                   1,               0.995,             0.67858,            0.006141,           0.0034663,                   0,            0.000595,            0.000595,            0.000595
